symbol,train_start,train_end,test_start,test_end,train_profit_factor,test_num_trades,test_win_rate_pct,test_profit_factor,test_total_return_pct,param_ENTRY_CMF_THRESHOLD,param_EXIT_SIGNAL_FLIP_BUFFER
BTC/USDT,2025-09-01,2026-03-01,2026-03-01,2026-05-01,0.119,10,20.0,0.46,-7.86,0.03,0.02
BTC/USDT,2025-11-01,2026-05-01,2026-05-01,2026-07-01,0.351,18,44.44,1.4,7.17,0.03,0.0
ETH/USDT,2025-09-01,2026-03-01,2026-03-01,2026-05-01,0.059,9,22.22,0.37,-14.86,0.08,0.05
ETH/USDT,2025-11-01,2026-05-01,2026-05-01,2026-07-01,0.317,18,55.56,1.88,22.54,0.03,0.05
SOL/USDT,2025-09-01,2026-03-01,2026-03-01,2026-05-01,0.167,13,15.38,0.11,-24.3,0.03,0.0
SOL/USDT,2025-11-01,2026-05-01,2026-05-01,2026-07-01,0.138,12,50.0,2.0,16.13,0.05,0.0
BNB/USDT,2025-09-01,2026-03-01,2026-03-01,2026-05-01,0.936,11,36.36,0.87,-1.53,0.03,0.0
BNB/USDT,2025-11-01,2026-05-01,2026-05-01,2026-07-01,1.726,9,44.44,2.17,10.29,0.03,0.05
XRP/USDT,2025-09-01,2026-03-01,2026-03-01,2026-05-01,0.344,16,25.0,0.59,-12.09,0.05,0.0
XRP/USDT,2025-11-01,2026-05-01,2026-05-01,2026-07-01,0.579,17,41.18,1.25,4.14,0.08,0.0
